JA,JB,length,DGC_AB,DGC_BA,EGC_AB,EGC_BA,AB capacity,BA capacity,DFFTT_AB,DFFTT_BA,EFFTT_AB,EFFTT_BA
3100081,3100433,11.0561931,1.834268678,0.162690041,1.510578811,0.159947563,112000,89600,7593.237343,970.248313,7429.148776,958.5050259
3100082,3100081,28.48539003,0.419157772,11.85431588,0.412095472,9.76294246,112000,89600,2499.766545,49072.76403,2469.510912,48014.93971
3100082,3100242,29.12912701,0.428630255,11.79030381,0.421408404,8.969456417,112000,89600,2556.258387,48807.77623,2525.319012,44112.51126
3100083,3100215,4.634910904,0.041402968,2.381230775,0.040027532,1.962423896,156799.9973,125439.9978,246.9183684,9857.471078,239.8886035,9651.359292
3100084,3100416,1.078260507,0.564881997,0.019952329,0.465749159,0.040186932,112000,89600,2338.415917,116.5458751,2290.592037,240.8268353
3100084,3100426,22.3216011,0.413042972,9.035021907,0.831946291,6.8733742,112000,89600,2412.673484,37401.86296,4985.474769,33803.8096
3100084,3100152,14.19441359,0.262656014,12.51036602,0.52903834,10.31719689,112000,89600,1534.230683,51788.58448,3170.287404,50740.80772
3100087,3100282,0.901232644,0.016676573,0.776384622,0.033588937,0.639925065,112000,89600,97.4114757,3213.963568,201.288097,3147.203195
3100087,3100223,1.786371863,0.03305535,1.186150131,0.066578911,0.978317955,112000,89600,193.0834624,4910.250922,398.981767,4811.446772
3100089,3100260,8.722644603,0.053179069,0.264142182,0.052199592,0.213719151,112000,89600,317.1484995,1093.457191,312.8312425,1051.088959
3100089,3100288,39.26799299,6.513961611,0.239403921,5.364441043,0.23500658,112000,89600,26965.54607,1427.75335,26382.75454,1408.317729
3100090,3100148,2.478389699,0.358651942,0.015109919,0.286892856,0.014827395,112000,89600,1484.694884,90.11230079,1410.962434,88.88562635
3100090,3100408,0.482803219,0.008933879,0.022012087,0.017993677,0.019983179,112000,89600,52.18472095,105.4585999,107.8329129,107.4234633
3100091,3100284,24.44593468,9.895791947,0.100307038,7.528164997,0.091057869,156799.9973,125439.9978,40965.15295,598.209542,37024.12364,545.7189757
3100092,3100413,2.027773425,0.82077344,0.037522289,0.624401681,0.075576175,112000,89600,3397.717907,219.1758177,3070.857976,452.8982129
3100093,3100092,1.271381795,0.02352588,0.096809949,0.047384745,0.078489726,112000,89600,137.4197635,400.7596754,283.9600005,386.019174
